#Position (bp)	Coverage	Std
5702.5	15.055945282357067	5.28990322346679
17106.5	14.82900736583655	7.074551643323497
28510.5	14.540687478077867	5.811504814990823
39914.5	13.087951595931251	5.290748561757497
51318.5	13.983076113644335	7.128487073363005
62722.5	13.827253595229744	6.798775087232741
74126.5	12.542265871623991	6.146514355572189
85530.5	14.763942476324097	6.765073715645156
96934.5	13.790336723956507	6.097405880430794
108338.5	13.741757278148018	6.687531653845501
119742.5	18.55690985619081	8.049549507994566
131146.5	20.124342336022448	7.907119320732264
142550.5	18.258155033321643	7.219281734482866
153954.5	13.937653454928096	6.941593787255245
165358.5	12.848824973693441	6.618817969647447
176762.5	13.89021396001403	7.013803597045653
188166.5	13.346545071904595	5.617538115503102
199570.5	15.219484391441599	5.740546649321911
210974.5	14.760961066292529	6.6812216888079865
222378.5	15.346194317783233	5.727984250824371
233782.5	14.678446159242371	6.504746937841588
245186.5	13.885566467905997	7.20229926458195
256590.5	14.35610312171168	6.0715365968419075
267994.5	14.55708523325149	6.381058375998098
279398.5	13.64398456681866	6.261972048161321
290802.5	14.56410031567871	6.7332550788238
302206.5	14.608821466152227	5.968253144600669
313610.5	13.910996141704665	6.745524777563875
325014.5	13.412574535250789	6.216858818339806
336418.5	13.794633461943178	6.824849369999668
345422.5	13.320866141732283	5.218354482105305
351124.5	18.54875	10.40047074255135
359226.5	15.284900035075411	6.213310408824612
370630.5	15.456769554542266	6.409126527157066
382034.5	15.292353560154332	6.38961390904798
393438.5	14.297877937565767	6.106200883679513
404842.5	14.398018239214311	5.523633100020388
416246.5	15.06085584005612	5.083794515748888
427650.5	15.803928446159242	7.275338527104462
439054.5	16.370045598035777	6.07108163916276
450458.5	15.468344440547176	6.089836626445253
461862.5	15.062521922132586	5.636479867469341
473266.5	15.942388635566468	7.763290388550624
484670.5	14.95063135741845	7.486384226707729
496074.5	11.978253244475622	6.987254769780353
507478.5	14.271045247281656	5.166849583588802
518882.5	14.650473518063837	7.029676033933243
530286.5	14.642493861802876	6.328075993018165
541690.5	13.560943528586462	6.736536125917975
553094.5	14.396527534198526	5.965380070261469
564498.5	13.251753770606804	5.1845966179148935
575902.5	15.233076113644335	6.103399929958366
587306.5	14.572693791652052	6.480307703655609
598710.5	15.162311469659768	5.780262501336454
610114.5	13.52648193616275	6.129363634334979
621518.5	15.542967379866713	6.097362736423836
632922.5	13.827253595229744	6.919534261925742
644326.5	12.827428972290424	6.676692157727769
655730.5	13.50394598386531	6.131108754810269
667134.5	14.584619431778323	6.916986599146153
674425.5	39.455632473253615	88.14850483684724
680127.5	15.167760758570386	5.313397276237001
689942.5	16.045948789898283	4.694452198617743
701346.5	16.056120659417747	5.656497708618321
712750.5	15.667309715889163	6.954517267028487
724154.5	15.293756576639776	6.8935001080031135
735558.5	16.342248333917922	6.642041360446566
746962.5	13.964573833742547	7.131008361553293
758366.5	15.495703262013329	6.743854133389208
769770.5	14.50403367239565	6.409017071643899
781174.5	14.602157137846369	6.940526272958925
792578.5	14.449052963872326	6.333471018213304
803982.5	14.240705015783936	5.761831497861679
815386.5	14.25797965626096	5.671839648186354
826790.5	15.470887407927043	6.5060409561564265
838194.5	14.696071553840758	6.812310642434136
849598.5	14.405734829884251	5.941570698399773
861002.5	14.746843212907752	7.360255445599877
872406.5	13.622237811294283	6.700434763950457
883810.5	13.267800771659067	5.531200365344344
895214.5	13.849438793405822	6.937638740037393
906618.5	14.69694843914416	7.11377202105819
918022.5	13.307962118554894	5.724209389272399
929426.5	13.599701858996843	6.510776755504217
940830.5	14.33330410382322	6.636329019506082
952234.5	13.459487898982813	6.161070230953394
963638.5	14.456331111890565	6.120766670685093
975042.5	14.061732725359523	5.597874402424948
984411.0	13.767080321832811	6.684642114715444
990113.0	14.272414640137558	6.456094749946739
997850.5	15.136881795861102	6.098038624130056
1009254.5	14.891529287969133	6.92862089040831
1020658.5	14.476850227990179	5.922886607000228
1032062.5	14.104437039635215	5.047190494081795
1043466.5	13.629866713433882	6.653022984846763
1054870.5	14.758681164503683	7.612081952531247
1066274.5	13.984128376008417	7.1716074697696595
1077678.5	16.459663276043493	6.600244194753352
1089082.5	13.434496667835846	6.139755506941852
1100486.5	13.754559803577692	6.7545144496639455
1111890.5	14.066906348649596	5.29065740432182
1123294.5	13.574184496667836	6.168281978031248
1134698.5	13.369431778323396	5.848977702243948
1146102.5	14.844002104524728	6.803552005221881
1157506.5	15.28446159242371	6.107177324425316
1168910.5	13.237109786039985	4.668613154877826
1180314.5	14.495177130831287	6.106258325692683
1188447.0	41.10800246862785	95.85461373284902
1194149.0	13.486474094452086	6.4022410297700185
1203122.5	13.733602244826377	6.086423068881495
1214526.5	14.465099964924589	6.044280076363875
1225930.5	14.865398105927744	7.3990635694434355
1237334.5	13.812083479480885	6.797304590928598
1248738.5	14.796124166958961	7.212470444953418
1260142.5	13.661083830235006	6.669819785146192
1271546.5	13.906348649596632	6.955412438432802
